gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;run_id;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier png
30;-75;0.5;0.8;43;15;120;15;run_043_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface0.8.png
30;-75;0.5;1.2;44;15;120;15;run_044_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface1.2.png
30;-75;1.5;0.8;45;15;120;15;run_045_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface0.8.png
30;-75;1.5;1.2;46;15;120;15;run_046_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface1.2.png
30;-75;5.0;0.8;47;15;120;15;run_047_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface0.8.png
30;-75;5.0;1.2;48;15;120;15;run_048_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface1.2.png
30;-150;0.5;0.8;49;15;120;15;run_049_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface0.8.png
30;-150;0.5;1.2;50;15;120;15;run_050_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface1.2.png
30;-150;1.5;0.8;51;15;120;15;run_051_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface0.8.png
30;-150;1.5;1.2;52;15;120;15;run_052_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface1.2.png
30;-150;5.0;0.8;53;15;120;15;run_053_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface0.8.png
30;-150;5.0;1.2;54;15;120;15;run_054_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface1.2.png
120;0;0.5;0.8;55;15;120;15;run_055_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface0.8.png
120;0;0.5;1.2;56;15;120;15;run_056_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface1.2.png
120;0;1.5;0.8;57;15;120;15;run_057_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface0.8.png
120;0;1.5;1.2;58;15;120;15;run_058_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface1.2.png
120;0;5.0;0.8;59;15;120;15;run_059_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface0.8.png
120;0;5.0;1.2;60;15;120;15;run_060_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface1.2.png
120;-75;0.5;0.8;61;15;120;15;run_061_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface0.8.png
120;-75;0.5;1.2;62;15;120;15;run_062_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface1.2.png
120;-75;1.5;0.8;63;15;120;15;run_063_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface0.8.png
120;-75;1.5;1.2;64;15;120;15;run_064_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface1.2.png
120;-75;5.0;0.8;65;15;120;15;run_065_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface0.8.png
