run_id;gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier gif
49;30;-150;0.5;0.8;15;120;15;run_049_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface0.8.gif
50;30;-150;0.5;1.2;15;120;15;run_050_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface1.2.gif
51;30;-150;1.5;0.8;15;120;15;run_051_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface0.8.gif
52;30;-150;1.5;1.2;15;120;15;run_052_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface1.2.gif
53;30;-150;5.0;0.8;15;120;15;run_053_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface0.8.gif
54;30;-150;5.0;1.2;15;120;15;run_054_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface1.2.gif
55;120;0;0.5;0.8;15;120;15;run_055_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface0.8.gif
56;120;0;0.5;1.2;15;120;15;run_056_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface1.2.gif
57;120;0;1.5;0.8;15;120;15;run_057_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface0.8.gif
58;120;0;1.5;1.2;15;120;15;run_058_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface1.2.gif
59;120;0;5.0;0.8;15;120;15;run_059_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface0.8.gif
60;120;0;5.0;1.2;15;120;15;run_060_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface1.2.gif
61;120;-75;0.5;0.8;15;120;15;run_061_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface0.8.gif
62;120;-75;0.5;1.2;15;120;15;run_062_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface1.2.gif
63;120;-75;1.5;0.8;15;120;15;run_063_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface0.8.gif
64;120;-75;1.5;1.2;15;120;15;run_064_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface1.2.gif
65;120;-75;5.0;0.8;15;120;15;run_065_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface0.8.gif
66;120;-75;5.0;1.2;15;120;15;run_066_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface1.2.gif
67;120;-150;0.5;0.8;15;120;15;run_067_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface0.8.gif
68;120;-150;0.5;1.2;15;120;15;run_068_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface1.2.gif
69;120;-150;1.5;0.8;15;120;15;run_069_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface0.8.gif
70;120;-150;1.5;1.2;15;120;15;run_070_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface1.2.gif
71;120;-150;5.0;0.8;15;120;15;run_071_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface0.8.gif
72;120;-150;5.0;1.2;15;120;15;run_072_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface1.2.gif
73;30;0;0.5;0.8;35;15;15;run_073_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface0.8.gif
74;30;0;0.5;1.2;35;15;15;run_074_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface1.2.gif
75;30;0;1.5;0.8;35;15;15;run_075_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface0.8.gif
76;30;0;1.5;1.2;35;15;15;run_076_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface1.2.gif
77;30;0;5.0;0.8;35;15;15;run_077_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface0.8.gif
78;30;0;5.0;1.2;35;15;15;run_078_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface1.2.gif
