nom fichier gif;ratio surface goutte/puit;CA substrat (deg);CA mur gauche (deg);CA mur droit (deg);CA plateau gauche (deg);Viscosite eta0 (Pa.s);shift X (um)
lbm_096.gif;0,8006;60;90;90;35;1,5;-75
lbm_097.gif;0,8006;35;15;35;90;0,5;0
lbm_098.gif;0,8006;35;15;35;90;0,5;-75
lbm_099.gif;0,8006;35;15;35;90;1,5;0
lbm_100.gif;0,8006;35;15;35;90;1,5;-75
lbm_101.gif;0,8006;35;15;90;90;0,5;0
lbm_102.gif;0,8006;35;15;90;90;0,5;-75
lbm_103.gif;0,8006;35;15;90;90;1,5;0
lbm_104.gif;0,8006;35;15;90;90;1,5;-75
lbm_105.gif;0,8006;60;15;35;90;0,5;0
lbm_106.gif;0,8006;60;15;35;90;0,5;-75
lbm_107.gif;0,8006;60;15;35;90;1,5;0
lbm_108.gif;0,8006;60;15;35;90;1,5;-75
lbm_109.gif;0,8006;60;15;90;90;0,5;0
lbm_110.gif;0,8006;60;15;90;90;0,5;-75
lbm_111.gif;0,8006;60;15;90;90;1,5;0
lbm_112.gif;0,8006;60;15;90;90;1,5;-75
lbm_113.gif;0,8006;35;35;35;90;0,5;0
lbm_114.gif;0,8006;35;35;35;90;0,5;-75
lbm_115.gif;0,8006;35;35;35;90;1,5;0
lbm_116.gif;0,8006;35;35;35;90;1,5;-75
lbm_117.gif;0,8006;35;35;90;90;0,5;0
lbm_118.gif;0,8006;35;35;90;90;0,5;-75
lbm_119.gif;0,8006;35;35;90;90;1,5;0
lbm_120.gif;0,8006;35;35;90;90;1,5;-75
lbm_121.gif;0,8006;60;35;35;90;0,5;0
lbm_122.gif;0,8006;60;35;35;90;0,5;-75
lbm_123.gif;0,8006;60;35;35;90;1,5;0
lbm_124.gif;0,8006;60;35;35;90;1,5;-75
lbm_125.gif;0,8006;60;35;90;90;0,5;0
lbm_126.gif;0,8006;60;35;90;90;0,5;-75
lbm_127.gif;0,8006;60;35;90;90;1,5;0
lbm_128.gif;0,8006;60;35;90;90;1,5;-75
lbm_129.gif;0,8006;35;90;35;90;0,5;0
lbm_130.gif;0,8006;35;90;35;90;0,5;-75
lbm_131.gif;0,8006;35;90;35;90;1,5;0
lbm_132.gif;0,8006;35;90;35;90;1,5;-75
lbm_133.gif;0,8006;35;90;90;90;0,5;0
lbm_134.gif;0,8006;35;90;90;90;0,5;-75
lbm_135.gif;0,8006;35;90;90;90;1,5;0
lbm_136.gif;0,8006;35;90;90;90;1,5;-75
lbm_137.gif;0,8006;60;90;35;90;0,5;0
lbm_138.gif;0,8006;60;90;35;90;0,5;-75
lbm_139.gif;0,8006;60;90;35;90;1,5;0
lbm_140.gif;0,8006;60;90;35;90;1,5;-75
lbm_141.gif;0,8006;60;90;90;90;0,5;0
lbm_142.gif;0,8006;60;90;90;90;0,5;-75
lbm_143.gif;0,8006;60;90;90;90;1,5;0
lbm_144.gif;0,8006;60;90;90;90;1,5;-75
lbm_145.gif;0,9995;35;15;35;15;0,5;0
lbm_146.gif;0,9995;35;15;35;15;0,5;-75
lbm_147.gif;0,9995;35;15;35;15;1,5;0
lbm_148.gif;0,9995;35;15;35;15;1,5;-75
lbm_149.gif;0,9995;35;15;90;15;0,5;0
lbm_150.gif;0,9995;35;15;90;15;0,5;-75
lbm_151.gif;0,9995;35;15;90;15;1,5;0
lbm_152.gif;0,9995;35;15;90;15;1,5;-75
lbm_153.gif;0,9995;60;15;35;15;0,5;0
lbm_154.gif;0,9995;60;15;35;15;0,5;-75
lbm_155.gif;0,9995;60;15;35;15;1,5;0
lbm_156.gif;0,9995;60;15;35;15;1,5;-75
lbm_157.gif;0,9995;60;15;90;15;0,5;0
lbm_158.gif;0,9995;60;15;90;15;0,5;-75
lbm_159.gif;0,9995;60;15;90;15;1,5;0
lbm_160.gif;0,9995;60;15;90;15;1,5;-75
lbm_161.gif;0,9995;35;35;35;15;0,5;0
lbm_162.gif;0,9995;35;35;35;15;0,5;-75
lbm_163.gif;0,9995;35;35;35;15;1,5;0
lbm_164.gif;0,9995;35;35;35;15;1,5;-75
lbm_165.gif;0,9995;35;35;90;15;0,5;0
lbm_166.gif;0,9995;35;35;90;15;0,5;-75
lbm_167.gif;0,9995;35;35;90;15;1,5;0
